tweet_id,favorites,retweets
853760880890318849,28918,5930
853639147608842240,35222,10404
853299958564483072,15717,3658
852936405516943360,0,2067
852912242202992640,9178,1889
852672615818899456,15142,2218
852553447878664193,16570,3617
852311364735569921,33622,10183
852226086759018497,20308,6999
852189679701164033,11636,1633
851953902622658560,0,9941
851861385021730816,0,23
851591660324737024,16501,3579
851464819735769094,24680,7318
851224888060895234,21048,5918
850753642995093505,31542,9587
850380195714523136,13321,2711
850333567704068097,3509,347
850145622816686080,16646,3952
850019790995546112,20860,5069
849776966551130114,31113,7882
849668094696017920,0,5131
849412302885593088,16219,3262
849336543269576704,11660,1961
849051919805034497,43366,8831
848690551926992896,25773,4484
848324959059550208,25332,4776
848213670039564288,8366,776
848212111729840128,16712,3188
847978865427394560,0,3388
847971574464610304,0,443
847962785489326080,24081,5303
847842811428974592,5592,1385
847617282490613760,7167,441
847606175596138505,19252,3546
847251039262605312,20982,4469
847157206088847362,20432,6097
847116187444137987,21976,3327
846874817362120707,20595,4093
846514051647705089,45802,12102
846505985330044928,14473,3208
846153765933735936,32539,9478
846139713627017216,31755,10347
846042936437604353,16433,3018
845812042753855489,30080,9125
845677943972139009,25852,4993
845397057150107648,7853,1885
845306882940190720,23997,5639
845098359547420673,0,8010
844979544864018432,13998,2695
844973813909606400,15544,3363
844580511645339650,16984,3285
844223788422217728,14031,2306
843981021012017153,15603,3069
843856843873095681,22086,4854
843604394117681152,17398,2890
843235543001513987,22198,6344
842846295480000512,15698,3787
842765311967449089,6961,1340
842535590457499648,18664,3686
842163532590374912,25247,6096
842115215311396866,14448,3191
841833993020538882,0,16083
841680585030541313,26494,8154
841439858740625411,13045,3876
841320156043304961,20422,5729
841314665196081154,16350,4930
841077006473256960,23631,5576
840761248237133825,0,1847
840728873075638272,0,16983
840698636975636481,181,2
840696689258311684,12707,1034
840632337062862849,9273,1847
840370681858686976,17017,4790
840268004936019968,19916,6035
839990271299457024,13874,2414
839549326359670784,28459,8192
839290600511926273,0,148
839239871831150596,28143,6894
838952994649550848,20304,4196
838921590096166913,11573,2183
838916489579200512,0,36
838831947270979586,0,11662
838561493054533637,11311,1394
838476387338051585,23366,5076
838201503651401729,0,10653
838150277551247360,1740,352
838085839343206401,147,1
838083903487373313,18256,3333
837820167694528512,35429,8295
837482249356513284,3976,464
837471256429613056,13247,2410
837366284874571778,21949,5608
837110210464448512,16617,2525
836989968035819520,13188,2426
836753516572119041,19985,4879
836677758902222849,13092,2350
836648853927522308,0,575
836397794269200385,0,29298
836380477523124226,15305,3144
836260088725786625,22074,4531
836001077879255040,19824,4535
835685285446955009,0,8629
835574547218894849,18494,3831
835536468978302976,0,1806
835309094223372289,0,22277
835297930240217089,17070,3181
835264098648616962,8024,1806
835246439529840640,2173,77
835172783151792128,27157,6086
835152434251116546,23337,3199
834931633769889797,11238,1748
834786237630337024,22040,5835
834574053763584002,14214,2687
834477809192075265,0,11330
834458053273591808,9995,1781
834209720923721728,21419,5073
834167344700198914,16389,3863
834089966724603904,10452,2255
834086379323871233,13578,2351
833863086058651648,13947,2540
833826103416520705,18726,3963
833732339549220864,0,227
833722901757046785,21554,3404
833479644947025920,15446,2185
833124694597443584,21027,5131
832998151111966721,13830,2354
832769181346996225,0,39
832757312314028032,17519,3848
832682457690300417,12353,3114
832645525019123713,3042,553
832636094638288896,16481,2957
832397543355072512,12419,2365
832369877331693569,17883,3388
832273440279240704,11770,2479
832215909146226688,0,6586
832215726631055365,0,9967
832088576586297345,68,2
832040443403784192,0,10313
832032802820481025,18589,4941
831939777352105988,24984,6523
831926988323639298,357,35
831911600680497154,28791,6936
831670449226514432,10898,1928
831650051525054464,7480,2067
831552930092285952,9357,2442
831322785565769729,9615,1632
831315979191906304,6803,1190
831309418084069378,12232,2607
831262627380748289,12414,2181
830956169170665475,8305,1589
830583320585068544,69736,17917
830173239259324417,0,6069
830097400375152640,10238,3193
829878982036299777,0,5359
829861396166877184,12761,2087
829501995190984704,33105,11330
829449946868879360,10920,2152
829374341691346946,36109,9941
829141528400556032,25549,7901
829011960981237760,55345,17315
828801551087042563,0,3618
828770345708580865,26678,6253
828708714936930305,38194,11984
828650029636317184,9915,1434
828409743546925057,6588,1225
828408677031882754,8009,1372
828381636999917570,13188,2376
828376505180889089,7711,1137
828372645993398273,13109,3155
828361771580813312,2292,181
828046555563323392,12281,3058
828011680017821696,10823,2291
827933404142436356,21015,5584
827653905312006145,16118,3208
827600520311402496,7732,1015
